,제목,예배,설교자,본문,날짜,교회
0,10 천사도 몰랐던 비밀,주일예배,김정민 목사,에베소서 3:1-6,2020-10-04,금란교회
1,우리가 바라는 이상적 교회,주일예배,김정민 목사,사도행전 2:37-47,2020-09-27,금란교회
2,09 교회의 비유,주일예배,김정민 목사,에베소서 2:18-22,2020-09-20,금란교회
3,08 차별이 없는 교회,주일예배,김정민 목사,에베소서 2:11-18,2020-09-13,금란교회
4,포스트 코로나 시대의 교회,주일예배,김정민 목사,사사기 7:1-8,2020-09-06,금란교회
5,07 죄와 구원의 의미,주일예배,김정민 목사,에베소서 2:2-10,2020-08-30,금란교회
6,"성폭행,살인 등에 대한 성경의 해답",주일예배,김정민 목사,역대하 7:14,2020-08-23,금란교회
7,"06 그리스도인의 정체성,어제와 오늘",주일예배,김정민 목사,에베소서 2:1-7,2020-08-16,금란교회
8,05 교회란 무엇인가,주일예배,김정민 목사,에베소서 1:20-23,2020-08-09,금란교회
9,04 성경적인 기도,주일예배,김정민 목사,에베소서 1:15-19,2020-08-02,금란교회
10,핵폭탄보다 더 심각한 위험,주일예배,김정민 목사,"신명기 32:4,요한계시록 22:15",2020-07-26,금란교회
11,03 구원의 경륜,주일예배,김정민 목사,에베소서 1:8-14,2020-07-19,금란교회
12,02 하나님의 경륜과 우리의 사명,주일예배,김정민 목사,"에베소서 1:8-9,고린도전서 9:17",2020-07-12,금란교회
13,01 그리스도인은 누구인가,주일예배,김정민 목사,에베소서 1:1-7,2020-07-05,금란교회
14,죄를 차단하는 비결,주일예배,김정민 목사,이사야 55:6-9,2020-06-28,금란교회
15,한국 전쟁의 성서적 해석 (2),주일예배,김정민 목사,사사기 3:31,2020-06-21,금란교회
16,마지막 한 수,주일예배,김정민 목사,빌립보서 4:6-7,2020-06-14,금란교회
17,한국 전쟁의 성서적 해석 (1),주일예배,김정민 목사,사사기 3:8-9,2020-06-07,금란교회
18,왜 그리스도인은 공산주의와 싸워야 하는가,주일예배,김정민 목사,마태복음 26:51-54,2020-05-31,금란교회
19,10 영적전쟁의 결국,주일예배,김정민 목사,에베소서 6:18-20,2020-05-24,금란교회
20,09 영적전쟁의 결론,주일예배,김정민 목사,에베소서 6:18-20,2020-05-17,금란교회
21,"부모와 자녀, 그리고 가족의 오늘",주일예배,김정민 목사,누가복음 19:25-27,2020-05-10,금란교회
22,행복을 꿈꾸는 가정,주일예배,김정민 목사,신명기 6:1-3,2020-05-03,금란교회
23,08 복음의 군화를 신고 진군하라,주일예배,김정민 목사,에베소서 6:15,2020-04-26,금란교회
24,07 성령의 검으로 마귀를 무찌르라,주일예배,김정민 목사,에베소서 6:17,2020-04-19,금란교회
25,부활 신앙의 부활,주일예배,김정민 목사,고린도전서 15:51-58,2020-04-12,금란교회
26,"십자가, 고난과 영광",주일예배,김정민 목사,"고린도전서 1:17-18, 갈라디아서 6:14",2020-04-05,금란교회
27,공산주의 바이러스,주일예배,김정민 목사,열왕기상 3:16-26,2020-03-29,금란교회
28,06 너와 나를 지키는 믿음의 방패,주일예배,김정민 목사,에베소서 6:10-20,2020-03-22,금란교회
29,05 진리의 허리띠를 띠라,주일예배,김정민 목사,에베소서 6:14-17,2020-03-15,금란교회
30,04 의의 호심경을 붙이라,주일예배,김정민 목사,에베소서 6:14-17,2020-03-08,금란교회
31,03 구원의 투구를 쓰라,주일예배,김정민 목사,에베소서 6:14-17,2020-03-01,금란교회
32,회개와 축복,주일예배,김정민 목사,"시편 32:5,51:17",2020-02-16,금란교회
33,02 왜 영적으로 무장해야 하는가,주일예배,김정민 목사,에베소서 6:10-11,2020-02-09,금란교회
