,제목,예배,설교자,본문,날짜,교회
0,‘60만 대 2’의 용기 있는 믿음,주일예배,김삼환 목사 ,수 1:1-9 ,2020-09-20,명성교회
1,예수님이 좋은 걸 어떡합니까,주일예배,김삼환 목사 ,"시104:8-18, 요10:11-15 ",2020-09-06,명성교회
2,우리 가정의 구름기둥 불기둥 이야기,주일예배,김삼환 목사 ,민 9:15-23 ,2020-08-23,명성교회
3,새 시대의 태동,주일예배,김삼환 목사 ,삼상 3:1-9 ,2020-08-09,명성교회
4,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2020-07-26,명성교회
5,만왕의 왕께 바치는 다윗 왕의 춤,주일예배,김삼환 목사 ,삼하 6:12-22 ,2020-07-12,명성교회
6,70년 만에 건진 보화,주일예배,김삼환 목사 ,느 9:35-38 ,2020-06-28,명성교회
7,모든 문제는 벧엘에서 그 답을 찾아야 한다,주일예배,김삼환 목사 ,"창 35:1-5,9-15 ",2020-06-14,명성교회
8,"오직 은혜, 그것 뿐입니다",주일예배,김삼환 목사 ,고전 15:8-10 ,2020-05-31,명성교회
9,주님의 은혜에 감사하면 저절로 잘 믿게 된다,주일예배,김삼환 목사 ,살전 5:16-18 ,2020-05-17,명성교회
10,자녀를 믿음으로 기르는 것은 보통 일이 아니다,주일예배,김삼환 목사 ,엡 6:1-4 ,2020-05-03,명성교회
11,천하에 오직 한 분 예수 그리스도,주일예배,김삼환 목사 ,행 4:5-12 ,2020-04-19,명성교회
12,"십자가에 못 박힌 자들이 부르는 노래,호산나",주일예배,김삼환 목사 ,"갈2:20,막11:9-10 ",2020-04-05,명성교회
13,"오직 예수 그리스도, 우리의 소망",주일예배,김삼환 목사 ,딛 3:1-11 ,2020-03-22,명성교회
14,내가 너와 함께 하리라,주일예배,김삼환 목사 ,사 43:1-7 ,2020-03-08,명성교회
15,여호와 닛시의 구성요소,주일예배,김삼환 목사 ,출 17:8-16 ,2020-02-23,명성교회
16,믿음의 정체성,주일예배,김삼환 목사 ,"요 9:24-25,32-38 ",2020-02-09,명성교회
17,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2020-01-26,명성교회
18,2020년에는 교회와 함께 축복을,주일예배,김삼환 목사 ,"시1:1-6,갈3:8-9,13-14 ",2020-01-12,명성교회
19,좋은 세상은 어떻게 누가 만들 수 있는가?,주일예배,김삼환 목사 ,"마6:14-15,9:13-14,고후5:17-21 ",2019-12-29,명성교회
20,한 아기가 오셨다,주일예배,김삼환 목사 ,사 9:1-7 ,2019-12-15,명성교회
21,방향감각,주일예배,김하나 목사 ,눅 24:28-35 ,2019-12-01,명성교회
22,금주에는 김하나 목사님의 설교가 없습니다.,주일예배, , ,2019-11-24,명성교회
23,"돌아온 자여, 그대에게 복이 있으라",주일예배,김삼환 목사 ,눅 15:11-32 ,2019-11-10,명성교회
24,"많은 감사, 스물여섯번의 감사",주일예배,김삼환 목사 ,시 136:23-26 ,2019-10-27,명성교회
25,금주에는 김하나 목사님의 설교가 없습니다.,주일예배, , ,2019-10-13,명성교회
26,하나님께서 분명히 들으시는 소리,주일예배,김하나 목사 ,말 3:13-18 ,2019-09-29,명성교회
27,우린 오늘도 실수합니다,주일예배,김하나 목사 ,행 15:36-41 ,2019-09-22,명성교회
28,예수님의 집으로 들어가라,주일예배,김하나 목사 ,막 2:1-5 ,2019-09-15,명성교회
29,부스러기의 믿음,주일예배,김하나 목사 ,마 15:21-28 ,2019-09-08,명성교회
30,기도하는 사람은 담을 뛰어넘는다,주일예배,김삼환 목사 ,"시 18:1-6, 28-29 ",2019-09-01,명성교회
31,삭개오의 축복을 받으십시오,주일예배,김삼환 목사 ,눅 19:1-10 ,2019-08-25,명성교회
32,은혜는 어떻게 해야 받을 수 있습니까?,주일예배,김삼환 목사 ,히 4:14-16 ,2019-08-18,명성교회
33,잊지말라 한가지만 기억하라,주일예배,김삼환 목사 ,신 8:11-18 ,2019-08-11,명성교회
34,예수님의 하루 일과,주일예배,김삼환 목사 ,막 1:35-39 ,2019-08-04,명성교회
35,"옳도다, 이렇게 사는 것이 횡재하는 것이다",주일예배,김삼환 목사 ,눅 10:25-37 ,2019-07-28,명성교회
36,내이름은기도하는여자입니다,주일예배,김삼환 목사 ,삼상 1:26~2:8 ,2019-07-21,명성교회
37,건강한 믿음 강건한 교회,주일예배,김하나 목사 ,약 2:14-18 ,2019-07-07,명성교회
38,막으시는 것도 은혜입니다,주일예배,김하나 목사 ,삼상 25:23-29 ,2019-06-30,명성교회
39,"승리의 조건, 절제",주일예배,김하나 목사 ,고전 9:23-27 ,2019-06-23,명성교회
40,여겨주심,주일예배,김하나 목사 ,욘 4:6-11 ,2019-06-09,명성교회
41,가정: 예수님이 중심에 계실 때 회복되는 곳,주일예배,김하나 목사 ,엡 5:31-6:4 ,2019-05-26,명성교회
42,성도의 비밀번호 0633,주일예배,김삼환 목사 ,마 6:33 ,2019-05-19,명성교회
43,잘 믿는 집으로 소문난 가정,주일예배,김삼환 목사 ,시 112:1-10 ,2019-05-12,명성교회
44,예수님처럼 마음을 주라,주일예배,김하나 목사 ,빌 1:3-8 ,2019-04-28,명성교회
45,마리아야 예수님 부활하셨다,주일예배,김삼환 목사 ,마 28:1-10 ,2019-04-21,명성교회
46,호산나 호산나 다윗의 자손이여,주일예배,김삼환 목사 ,막 11:1-10 ,2019-04-14,명성교회
47,최고의 칭찬,주일예배,김하나 목사 ,고후 10:12-18 ,2019-03-31,명성교회
48,앞으로 나아가라,주일예배,김하나 목사 ,출 14:10-16 ,2019-03-24,명성교회
49,깊이에의 강요,주일예배,김하나 목사 ,눅 11:37-44 ,2019-03-10,명성교회
50,금주에는 김하나 목사님의 설교가 없습니다.,주일예배, , ,2019-03-03,명성교회
51,새벽기도가 얼마나 중요한지 아십니까?,주일예배,김삼환 목사 ,막 1:35-39 ,2019-02-24,명성교회
52,자유인은 어떻게 사는가?,주일예배,김삼환 목사 ,"갈 5:1,13-15 ",2019-02-10,명성교회
53,주는 자의 복,주일예배,김삼환 목사 ,눅 6:38 ,2019-02-03,명성교회
54,결심(2) 정말 그분을 따르렵니까?,주일예배,김하나 목사 ,마 4:18-22 ,2019-01-20,명성교회
55,결심(1) 변하지 않는 것의 아름다움,주일예배,김하나목사 ,단 1:8-16 ,2019-01-13,명성교회
56,만족함은 어디에서 오는가?,주일예배,김하나목사 ,시 63:1-7 ,2019-01-06,명성교회
57,예수님이 주시는 네 개의 기쁨,주일예배,김하나목사 ,마 2:1-12 ,2018-12-23,명성교회
58,지금은 버림의 시간입니다,주일예배,김하나목사 ,욘 1:4-10 ,2018-12-09,명성교회
59,SIGNS #5 거듭난그리스도인의 증거를 가지라,주일예배,김하나목사 ,요일 5:1-5 ,2018-12-02,명성교회
