,제목,예배,설교자,본문,날짜,교회
0,믿음의 기초,주일예배,오정현 목사,요한복음 2:1~11,2020-10-04,사랑의교회
1,메시아의 대관식,주일예배,오정현 목사,스가랴 6:9~15,2020-09-27,사랑의교회
2,심판의 날을 준비하라,주일예배,오정현 목사,스가랴 6:1~8,2020-09-20,사랑의교회
3,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
4,한결같은 순금 등대파,주일예배,오정현 목사,스가랴 4:6~14,2020-09-06,사랑의교회
5,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
6,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
7,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
8,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
9,제3 환상 Ⅱ : 눈동자 같이 지키시는 하나님,주일예배,오정현 목사,스가랴 2:6~13,2020-07-19,사랑의교회
10,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
11,제2 환상 : 숙련된 대장장이의 계보(系譜),주일예배,오정현 목사,스가랴 1:18~21,2020-07-05,사랑의교회
12,"한국 전쟁 70주년, 질투하시는 하나님",주일예배,오정현 목사,스가랴 1:7~17,2020-06-28,사랑의교회
13,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
14,회복의 플랫폼,주일예배,오정현 목사,스가랴 1:1~6,2020-06-14,사랑의교회
15,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
16,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
17,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
18,"내가 사는 이유, 사명",주일예배,오정현 목사,요한복음 20:21~23,2020-05-10,사랑의교회
19,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
20,믿음의 기초,주일예배,오정현 목사,요한복음 2:1~11,2020-10-04,사랑의교회
21,메시아의 대관식,주일예배,오정현 목사,스가랴 6:9~15,2020-09-27,사랑의교회
22,심판의 날을 준비하라,주일예배,오정현 목사,스가랴 6:1~8,2020-09-20,사랑의교회
23,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
24,한결같은 순금 등대파,주일예배,오정현 목사,스가랴 4:6~14,2020-09-06,사랑의교회
25,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
26,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
27,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
28,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
29,제3 환상 Ⅱ : 눈동자 같이 지키시는 하나님,주일예배,오정현 목사,스가랴 2:6~13,2020-07-19,사랑의교회
30,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
31,제2 환상 : 숙련된 대장장이의 계보(系譜),주일예배,오정현 목사,스가랴 1:18~21,2020-07-05,사랑의교회
32,"한국 전쟁 70주년, 질투하시는 하나님",주일예배,오정현 목사,스가랴 1:7~17,2020-06-28,사랑의교회
33,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
34,회복의 플랫폼,주일예배,오정현 목사,스가랴 1:1~6,2020-06-14,사랑의교회
35,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
36,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
37,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
38,"내가 사는 이유, 사명",주일예배,오정현 목사,요한복음 20:21~23,2020-05-10,사랑의교회
39,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
40,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
41,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
42,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
43,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
44,제3 환상 Ⅱ : 눈동자 같이 지키시는 하나님,주일예배,오정현 목사,스가랴 2:6~13,2020-07-19,사랑의교회
45,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
46,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
47,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
48,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
49,"내가 사는 이유, 사명",주일예배,오정현 목사,요한복음 20:21~23,2020-05-10,사랑의교회
50,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
51,부활의 영이 내게 임하면,주일예배,오정현 목사,요한복음 11:23~27,2020-04-12,사랑의교회
52,소명자의 결단,주일예배,오정현 목사,에스더 4:1~17,2020-03-29,사랑의교회
53,고난과 영광,주일예배,오정현 목사,"베드로전서 4:12~14, 19",2020-03-22,사랑의교회
54,영향력,주일예배,오정현 목사,열왕기상 18:1~15,2020-03-15,사랑의교회
55,정체성,주일예배,오정현 목사,다니엘 1:3~9,2020-03-08,사랑의교회
56,기억과 기대,주일예배,오정현 목사,시편 23:1~4,2020-03-01,사랑의교회
57,가시도 능력이 될 수 있다,주일예배,오정현 목사,고린도후서 12:7~10,2020-02-23,사랑의교회
58,알곡 신앙의 역사의식,주일예배,오정현 목사,"마태복음 13:24~30, 36~43",2020-01-19,사랑의교회
59,지금 내 마음 밭은 어떠한가?,주일예배,오정현 목사,"마태복음 13:1~9, 18~23",2020-01-12,사랑의교회
60,믿음의 기초,주일예배,오정현 목사,요한복음 2:1~11,2020-10-04,사랑의교회
61,한결같은 순금 등대파,주일예배,오정현 목사,스가랴 4:6~14,2020-09-06,사랑의교회
62,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
63,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
64,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
65,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
66,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
67,회복의 플랫폼,주일예배,오정현 목사,스가랴 1:1~6,2020-06-14,사랑의교회
68,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
69,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
70,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
71,순도 높은 사랑의 능력,주일예배,오정현 목사,요한복음 20:15~20,2020-04-26,사랑의교회
72,새날을 여는 사랑의 능력,주일예배,오정현 목사,"요한복음 20:1, 11~16",2020-04-19,사랑의교회
73,부활의 영이 내게 임하면,주일예배,오정현 목사,요한복음 11:23~27,2020-04-12,사랑의교회
74,십자가만 자랑합시다,주일예배,오정현 목사,갈라디아서 6:14~17,2020-04-05,사랑의교회
75,소명자의 결단,주일예배,오정현 목사,에스더 4:1~17,2020-03-29,사랑의교회
76,고난과 영광,주일예배,오정현 목사,"베드로전서 4:12~14, 19",2020-03-22,사랑의교회
77,기억과 기대,주일예배,오정현 목사,시편 23:1~4,2020-03-01,사랑의교회
78,내 영혼 주 찬양하며,주일예배,오정현 목사,누가복음 1:46~50,2020-01-26,사랑의교회
79,알곡 신앙의 역사의식,주일예배,오정현 목사,"마태복음 13:24~30, 36~43",2020-01-19,사랑의교회
80,메시아의 대관식,주일예배,오정현 목사,스가랴 6:9~15,2020-09-27,사랑의교회
81,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
82,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
83,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
84,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
85,제2 환상 : 숙련된 대장장이의 계보(系譜),주일예배,오정현 목사,스가랴 1:18~21,2020-07-05,사랑의교회
86,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
87,믿음 계승,주일예배,오정현 목사,창세기 25:19~23,2020-05-24,사랑의교회
88,"내가 사는 이유, 사명",주일예배,오정현 목사,요한복음 20:21~23,2020-05-10,사랑의교회
89,평강,주일예배,오정현 목사,요한복음 20:19~27,2020-05-03,사랑의교회
90,순도 높은 사랑의 능력,주일예배,오정현 목사,요한복음 20:15~20,2020-04-26,사랑의교회
91,십자가만 자랑합시다,주일예배,오정현 목사,갈라디아서 6:14~17,2020-04-05,사랑의교회
92,영향력,주일예배,오정현 목사,열왕기상 18:1~15,2020-03-15,사랑의교회
93,내 영혼 주 찬양하며,주일예배,오정현 목사,누가복음 1:46~50,2020-01-26,사랑의교회
94,하나님 나라 역사의 비밀,주일예배,오정현 목사,마태복음 13:10~17,2020-01-05,사랑의교회
95,천국 소망이 나를 어떻게 살리는가?,주일예배,오정현 목사,고린도후서 4:16~5:1,2019-12-15,사랑의교회
96,오직 성경으로,주일예배,오정현 목사,디모데후서 3:15~17,2019-11-03,사랑의교회
97,생명의 복음은 누구를 위한 것인가?,주일예배,오정현 목사,누가복음 19:5~10,2019-10-13,사랑의교회
98,피곤 극복,주일예배,오정현 목사,이사야 40:27~31,2019-09-15,사랑의교회
99,보이지 않는 하나님의 거룩한 즉흥성,주일예배,오정현 목사,룻기 2:1~9,2019-08-25,사랑의교회
100,메시아의 대관식,주일예배,오정현 목사,스가랴 6:9~15,2020-09-27,사랑의교회
101,심판의 날을 준비하라,주일예배,오정현 목사,스가랴 6:1~8,2020-09-20,사랑의교회
102,한결같은 순금 등대파,주일예배,오정현 목사,스가랴 4:6~14,2020-09-06,사랑의교회
103,순금 등잔대의 환상,주일예배,오정현 목사,스가랴 4:1~6,2020-08-30,사랑의교회
104,섭리의 신비와 축복,주일예배,오정현 목사,창세기 45:1~5,2020-08-16,사랑의교회
105,제4 환상 Ⅱ:우리는 예표의 사람들,주일예배,오정현 목사,스가랴 3:6~10,2020-08-02,사랑의교회
106,제4 환상 : 더러운 옷을 깨끗한 예복으로,주일예배,오정현 목사,스가랴 3:1~5,2020-07-26,사랑의교회
107,제3 환상 Ⅱ : 눈동자 같이 지키시는 하나님,주일예배,오정현 목사,스가랴 2:6~13,2020-07-19,사랑의교회
108,"한국 전쟁 70주년, 질투하시는 하나님",주일예배,오정현 목사,스가랴 1:7~17,2020-06-28,사랑의교회
109,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
110,회복의 플랫폼,주일예배,오정현 목사,스가랴 1:1~6,2020-06-14,사랑의교회
111,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
112,성령 충만한 질그릇,주일예배,오정현 목사,"고린도전서 6:19~20, 고린도후서 4:7",2020-05-31,사랑의교회
113,순도 높은 사랑의 능력,주일예배,오정현 목사,요한복음 20:15~20,2020-04-26,사랑의교회
