,제목,본문,날짜,설교자,예배
0,비접촉 인생의 믿음의 접촉’,마9:18-26,2020년09월13일,송태근,주일낮예배
1,원하시는 예배는 무엇인가?’,마9:9-17,2020년09월06일,송태근,주일낮예배
2,어느 것이 쉽겠느냐?’,마9:1-8,2020년08월30일,송태근,주일낮예배
3,돼지 떼의 죽음이 주는 메시지’,마8:28-34,2020년08월23일,송태근,주일낮예배
4,나를 따르라!’,마8:18-22,2020년08월16일,송태근,주일낮예배
5,산에서 내려 오시다’,마8:5-13,2020년08월09일,송태근,주일낮예배
6,열매로 알리라’,마7:15-20,2020년08월02일,송태근,주일낮예배
7,"개, 돼지는 누구인가?’",마7:1-6,2020년07월26일,송태근,주일낮예배
8,외식하지 말라’,마6:1-4,2020년07월19일,송태근,주일낮예배
9,'새로고침',이사야61:1-4,2020년07월12일,송태근,주일낮예배
10,'하나님의 시간표',신명기16:9-12,2020년07월05일,송태근,주일낮예배
11,'왜'에서 '무엇'으로,사도행전11:28-30,2020년06월28일,송태근,주일낮예배
12,더 나은 의’,마5:43-48,2020년06월21일,송태근,주일낮예배
13,폭풍 속의 가정’,마5:27-32,2020년06월14일,송태근,주일낮예배
14,완성하러 오신 예수님’,마5:17-20,2020년06월07일,송태근,주일낮예배
15,세상 속의 소금과 빛’,마5:13-16,2020년05월31일,송태근,주일낮예배
16,기독교인의 박해’,마5:10-12,2020년05월24일,송태근,주일낮예배
17,하나님의 아들’,마5:9,2020년05월17일,송태근,주일낮예배
18,청결함의 세 가지 조건’,마5:8,2020년05월10일,송태근,주일낮예배
19,긍휼과 십자가’,마5:7,2020년05월03일,송태근,주일낮예배
20,주리고 목마른 은혜’,마5:6,2020년04월26일,송태근,주일낮예배
21,온유와 땅’,마5:5,2020년04월19일,송태근,주일낮예배
22,'부활에 뿌리내린 삶',마가복음16:12-15,2020년04월12일,송태근,주일낮예배
23,유사품 애통을 조심하라’,마5:4,2020년04월05일,송태근,주일낮예배
24,초대받은 자의 특징’,마5:3,2020년03월29일,송태근,주일낮예배
25,새로운 복’,마5:1-12,2020년03월22일,송태근,주일낮예배
26,사람 낚는 어부들’,마4:18-22,2020년03월15일,송태근,주일낮예배
27,이방의 갈리리여!’,마4:12-16,2020년03월08일,송태근,주일낮예배
28,광야와 시험’,마4:1-11,2020년03월01일,송태근,주일낮예배
29,요한의 세례’,마3:1-9,2020년02월23일,송태근,주일낮예배
30,나사렛 사람’,마2:19-23,2020년02월16일,송태근,주일낮예배
31,'예루살렘의 소동',마2:16,2019년12월25일,송태근,주일낮예배
32,요셉의 의로움’,마1:18-25,2020년02월09일,송태근,주일낮예배
33,마태의 세 가지 전망’,마1:1-11,2020년02월02일,송태근,주일낮예배
34,'하나님의 뜻 세 가지',데살로니가전서5:16-18,2020년01월26일,송태근,주일낮예배
35,'사랑의 진실함을 증명하라',고린도후서8:9-15,2020년01월19일,송태근,주일낮예배
36,'이 세상과 저 세상',누가복음20:27-36,2020년01월12일,송태근,주일낮예배
37,'화평을 구하십시오',베드로전서3:8-12,2020년01월05일,송태근,주일낮예배
38,'세 가지 질문과 사명',요21:18-25,2019년12월29일,송태근,주일낮예배
39,'갈릴리의 약속',요21:1-11,2019년12월22일,송태근,주일낮예배
40,'부활의 세 가지 얼굴',요20:1-8,2019년12월15일,송태근,주일낮예배
41,'다 이루었다',요19:28-30,2019년12월08일,송태근,주일낮예배
42,"'레디,셋,고(Ready,Set,Go)'",요한복음17:18-19,2019년12월01일,송태근,주일낮예배
43,'빌라도의 재판',요19:10-11,2019년11월24일,송태근,주일낮예배
44,'감사의 네 가지 방법',시편95:1-5,2019년11월17일,송태근,주일낮예배
45,'세 개의 시선',요18:28-32,2019년11월10일,송태근,주일낮예배
46,'아버지께서 주신 잔',요18:10-14,2019년11월03일,송태근,주일낮예배
47,'나사렛 사람 예수',요18:1-9,2019년10월27일,송태근,주일낮예배
