,제목,예배,설교자,본문,날짜,교회
0,안에서 여십시요,주일예배,김운성 위임목사,창세기 40:1~15,2020-9-20,영락교회
1,우리의 도,주일예배,김운성 위임목사,시편 1:1~6,2020-9-13,영락교회
2,세월이 지난 후에,주일예배,김운성 위임목사,창세기 4:1~8,2020-9-6,영락교회
3,고센에서 가나안으로,주일예배,김운성 위임목사,창세기 50:22~26,2020-8-30,영락교회
4,후일에 당할 일,주일예배,김운성 위임목사,창세기 49:1~2,2020-8-23,영락교회
5,아브라함을 생각하사,주일예배,김운성 위임목사,창세기 19:23~29,2020-8-16,영락교회
6,은혜의 빛을 기다리며,주일예배,김운성 위임목사,사무엘상 1:19~28,2020-8-9,영락교회
7,진정한 백신,주일예배,김운성 위임목사,출애굽기 7:8~13,2020-8-2,영락교회
8,교회는 기도하더라,주일예배,김운성 위임목사,사도행전 12:1~5,2020-7-24,영락교회
9,구할 것과 팔 것,주일예배,김운성 위임목사,마태복음 13:45~46,2020-7-19,영락교회
10,흩어지는 사람들,주일예배,김운성 위임목사,사도행전 8:1~6,2020-7-12,영락교회
11,주 예수를 믿으라,주일예배,김운성 위임목사,사도행전 16:27~34,2020-7-5,영락교회
12,고통에서 축복으로,주일예배,김운성 위임목사,사무엘상 1:1~11,2020-6-28,영락교회
13,내 백성 이스라엘,주일예배,김운성 위임목사,아모스 7:10~17,2020-6-21,영락교회
14,집과 마을,주일예배,김운성 위임목사,마가복음 8:22~26,2020-6-14,영락교회
15,성령님과 함께 하는 삶,주일예배,김운성 위임목사,사도행전 13:1~3,2020-6-7,영락교회
16,광야로 이끌리시다,주일예배,김운성 위임목사,마가복음 1:9~13,2020-5-31,영락교회
17,자서전과 일기,주일예배,김운성 위임목사,로마서 14:10~12,2020-5-24,영락교회
18,끝까지 말해줍시다,주일예배,김운성 위임목사,열왕기상 9:1~9,2020-5-17,영락교회
19,“귀 기울여 들을 일”,주일예배,김운성 위임목사,창세기 49:1~2,2020-5-10,영락교회
20,허명과 실명,주일예배,김운성 위임목사,열왕기상 10:1~3,2020-5-3,영락교회
21,그렇게 이르신 이유,주일예배,김운성 위임목사,마가복음 16:14~20,2020-4-26,영락교회
22,하나님의 나라를 기다리는 자,주일예배,김운성 위임목사,"누가복음 23:50~54, 24:44~49",2020-4-19,영락교회
23,"부활, 먼저 우리 안에서",주일예배,김운성 위임목사,누가복음 24:50~53,2020-4-12,영락교회
24,십자가 - 종식과 시작,주일예배,김운성 위임목사,누가복음 22:14~20,2020-4-5,영락교회
25,십자가 - 작정된 대로 가기,주일예배,김운성 위임목사,누가복음 22:14~23,2020-3-29,영락교회
26,십자가 - 반대로 하기,주일예배,김운성 위임목사,마가복음 8:27~38,2020-3-22,영락교회
27,십자가 - 한 계단씩 오르기,주일예배,김운성 위임목사,누가복음 19:11~13,2020-3-15,영락교회
28,십자가 - 치욕에서 능력으로!,주일예배,김운성 위임목사,고린도전서 1:17~25,2020-3-8,영락교회
29,호롱불이 꺼질 때,주일예배,김운성 위임목사,빌립보서 2:5~11,2020-3-1,영락교회
30,강도와 기도,주일예배,김운성 위임목사,마가복음 11:15~18,2020-2-23,영락교회
31,성령으로 승리하라,주일예배,김운성 위임목사,로마서 8:12~17,2020-2-16,영락교회
32,아시는 주께서 모르는 우리에게,주일예배,김운성 위임목사,요한계시록 3:14~22,2020-2-9,영락교회
33,예수의 무릎 아래에 엎드려,주일예배,김운성 위임목사,누가복음 5:1~11,2020-2-2,영락교회
34,"감사의 현재, 축복의 미래",주일예배,김운성 위임목사,누가복음 2:25~33,2020-1-26,영락교회
35,왕복을 벗고 베옷을 입다,주일예배,김운성 위임목사,사무엘하 6:12~19,2020-1-19,영락교회
36,이 때를 위함이라,주일예배,김운성 위임목사,에스더 4:4~17,2020-1-12,영락교회
37,말씀으로 새로워지는 교회,주일예배,김운성 위임목사,에베소서 5:22∼27,2020-1-5,영락교회
38,광야에서 드리는 감사,주일예배,김운성 위임목사,신명기 8:1~3,2019-12-29,영락교회
39,헤롯왕 때에 베들레헴에서,주일예배,김운성 위임목사,마태복음 2:1~2,2019-12-22,영락교회
40,시작은 미약하였으나,주일예배,김운성 위임목사,미가 5:2~9,2019-12-15,영락교회
41,가장 오래된 선물,주일예배,김운성 위임목사,이사야 9:1~7,2019-12-8,영락교회
42,하나님의 집에서 어떻게,주일예배,김운성 위임목사,디모데전서 3:14~16,2019-12-1,영락교회
43,가버나움 사람들,주일예배,김운성 위임목사,마태복음 4:12~16,2019-11-24,영락교회
44,하늘에 계신 주님,주일예배,김운성 위임목사,사도행전 7:54~60,2019-11-17,영락교회
45,무엇을 가지고 나아갈까,주일예배,김운성 위임목사,신명기 26:1~11,2019-11-10,영락교회
46,결코 낫지 않음의 은총,주일예배,김운성 위임목사,로마서 3:9~12,2019-11-3,영락교회
47,대세보다 옳음을!,주일예배,김운성 위임목사,역대상 12:1~7,2019-10-27,영락교회
48,내려감과 올려짐 사이에서,주일예배,김운성 위임목사,디모데전서 1:12~17,2019-10-20,영락교회
49,하나님이 독생자를 보내심은,주일예배,김운성 위임목사,요한1서 4:7~10,2019-10-13,영락교회
50,떠나고 수종드니라,주일예배,김운성 위임목사,마태복음 4:11,2019-10-6,영락교회
51,시험에서 신뢰로!,주일예배,김운성 위임목사,마태복음 4:5~7,2019-9-22,영락교회
52,사람은 무엇으로 사는가,주일예배,김운성 위임목사,마태복음 4:1~4,2019-9-15,영락교회
53,이 말씀이 절실한 이유,주일예배,김운성 위임목사,요한복음 3:16 ·,2019-9-8,영락교회
54,“예수께 데리고 와서”,주일예배,김운성 위임목사,마태복음 14:34~36,2019-9-1,영락교회
55,주님의 임재를 경험하는 사람(2),주일예배,김운성 위임목사,마태복음 28:16~20,2019-8-25,영락교회
56,주님의 임재를 경험하는 사람,주일예배,김운성 위임목사,마태복음 28:16~20,2019-8-18,영락교회
57,진정한 승리를 위하여,주일예배,김운성 위임목사,사무엘하 11:1~5,2019-8-11,영락교회
58,광풍 속에 계신 하나님,주일예배,김운성 위임목사,사도행전 27:9~26,2019-8-4,영락교회
59,사랑을 근심하다,주일예배,김운성 위임목사,요한복음 21:15~17,2019-7-28,영락교회
60,“내가 너를 위하여”,주일예배,김운성 위임목사,누가복음 22:24~34,2019-7-21,영락교회
61,욥을 욥으로 보기,주일예배,김운성 위임목사,욥기 2:11~13,2019-7-14,영락교회
62,7절과 8절 사이,주일예배,김운성 위임목사,누가복음 19:1~10,2019-7-7,영락교회
63,존귀하길 원한다면,주일예배,김운성 위임목사,역대하 24:15~25,2019-6-30,영락교회
64,혹시 숨김을 얻으리라,주일예배,김운성 위임목사,스바냐 2:1~3,2019-6-23,영락교회
65,“그들의 말을 듣되”,주일예배,김운성 위임목사,사무엘상 8:4~9,2019-6-16,영락교회
66,“성령이 이르시되”,주일예배,김운성 위임목사,사도행전 13:1~3,2019-6-9,영락교회
67,“예루살렘 둘째 구역에”,주일예배,김운성 위임목사,역대하 34:14~28,2019-6-2,영락교회
68,네 집에 무엇이 있는지 말하라,주일예배,김운성 위임목사,열왕기하 4:1~7,2019-5-26,영락교회
69,한 청년의 고민,주일예배,김운성 위임목사,시편 119:9,2019-5-19,영락교회
70,“서로 떠나지 아니하였도다”,주일예배,김운성 위임목사,사무엘하 1:17~27,2019-5-12,영락교회
71,아들이라 부르기 위하여,주일예배,김운성 위임목사,디모데후서 1:1~6,2019-5-5,영락교회
72,"사랑, 그것으로 충분합니다",주일예배,김운성 위임목사,열왕기하 23:24~30,2019-4-28,영락교회
73,“부활에 이르려 하노니”,주일예배,김운성 위임목사,빌립보서 3:5~14,2019-4-21,영락교회
74,부흥이야기(12)：“예루살렘으로 올라가노니”,주일예배,김운성 위임목사,마태복음 20:17~19,2019-4-14,영락교회
75,부흥이야기(11)：담대히 전하니라,주일예배,김운성 위임목사,사도행전 4:23~31,2019-4-7,영락교회
76,부흥이야기(10)：하나님의 영으로 인도함을 받음,주일예배,김운성 위임목사,로마서 8:12~17,2019-3-31,영락교회
77,부흥이야기(9)：“마음을 감동시키시매”,주일예배,김운성 위임목사,학개 1:12~15,2019-3-24,영락교회
78,부흥이야기(8)：“보기를 원하나이다”,주일예배,김운성 위임목사,마가복음 10:46~52,2019-3-17,영락교회
79,부흥이야기(7)：“자신을 성결하게 하라”,주일예배,김운성 위임목사,여호수아 3:1~5,2019-3-10,영락교회
80,부흥이야기(6)：진리를 행함,주일예배,김운성 위임목사,요한2서 1:1~6,2019-3-3,영락교회
81,부흥이야기(5)：여호와를 자기 하나님으로,주일예배,김운성 위임목사,시편 33:10~22,2019-2-24,영락교회
82,부흥이야기(4)：말씀이 임하니라,주일예배,김운성 위임목사,요나 1:1~3,2019-2-17,영락교회
83,부흥이야기(3)：말씀이 왕성하여,주일예배,김운성 위임목사,사도행전 6:1~7,2019-2-10,영락교회
