,제목,예배,설교자,본문,날짜
0,"성령 충만하신 예수 그리스도 3 ""갈망하며 신뢰하며 예배합니다""",주일예배,김승욱 목사,마태복음 4:1-11,2020-09-20
1,"성령 충만하신 예수 그리스도 2 ""광야로""",주일예배,김승욱 목사,마가복음 1:12-13,2020-09-13
2,"성령 충만하신 예수 그리스도 1 ""사랑하기 위한 자기 비움""",온라인 주일예배,김승욱 목사,마태복음 3:13-17,2020-09-06
3,"""혹 흘러 떠내려갈까 염려하노라""",온라인 주일예배,김승욱 목사,히브리서 2:1,2020-08-30
4,"""복음의 빛""",온라인 주일예배,김승욱 목사,디도서 2:1-10,2020-08-23
5,앞서 행하시는 성령님 15 “Let's Go!(레츠 고! 함께 갑시다)”,주일3부예배,김승욱 목사,"사도행전 28:16, 23, 30-31",2020-08-16
6,코로나19룰 통해 점검 받을 수 있는 신앙의 영역들,주일4부 뉴웨이브예배 실황,안만기 목사,누가복음 9:18-27,2020-08-09
7,앞서 행하시는 성령님 14 “폭풍 속에서”,주일2부예배,김승욱 목사,사도행전 27:20-26,2020-08-09
8,앞서 행하시는 성령님 13 “믿음으로 순종할 때”,주일2부예배,김승욱 목사,사도행전 23:19-24,2020-08-02
9,앞서 행하시는 성령님 12 “은혜의 복음으로”,주일3부예배,김승욱 목사,"사도행전 20:24, 32",2020-07-26
10,배우고 확신한 일에 거하라,주일4부 뉴웨이브예배 실황,최강용 목사,디모데후서 3:12-17,2020-07-19
11,염려와 평화,주일3부예배,김상복 목사,빌립보서 4:4-9,2020-07-19
12,인생 노답?,주일4부 뉴웨이브예배 실황,안만기 목사,이사야 43:1-10,2020-07-12
13,앞서 행하시는 성령님 11 “역경을 허락하시어”,주일2부예배,김승욱 목사,사도행전 18:9-11,2020-07-12
14,앞서 행하시는 성령님 10 “과정을 통해 ”,주일3부예배,김승욱 목사,사도행전 16:6-10,2020-07-05
15,앞서 행하시는 성령님 9 “안디옥 교회”,주일3부예배,김승욱 목사,사도행전 13:1-3,2020-06-28
16,앞서 행하시는 성령님 8 “거침없이 주의 나라를 확장하십니다”,주일3부예배,김승욱 목사,사도행전 12:21-25,2020-06-21
17,진리를 향한 삶의 결단,주일4부 뉴웨이브예배 실황,안만기 목사,사도행전 19:8-20,2020-06-14
18,앞서 행하시는 성령님 7 “세우시기 위해 무너뜨리십니다”,주일1부예배,김승욱 목사,사도행전 9:1-9,2020-06-14
19,앞서 행하시는 성령님 6 “차별하는 죄에서 자유케 하십니다”,주일2부예배,김승욱 목사,"사도행전 8:4-8, 26-28",2020-06-07
20,앞서 행하시는 성령님 5 “위기 중에도 찬양케 하십니다”,주일3부예배,김승욱 목사,사도행전 7:54-8:4,2020-05-31
21,앞서 행하시는 성령님 4 “교회의 우선순위를 새롭게 정립하십니다”,주일4부 뉴웨이브예배,김승욱 목사,사도행전 6:1-7,2020-05-24
22,앞서 행하시는 성령님 3 “교회를 성결케 하십니다”ㅣ김승욱 목사ㅣ2020.05.17,주일2부예배,김승욱 목사,사도행전 5:1-11,2020-05-17
23,앞서 행하시는 성령님,주일4부 뉴웨이브예배 실황,안만기 목사,사도행전 2:36-47,2020-05-10
24,앞서 행하시는 성령님 2 “하나님의 꿈과 비전을 따라”,주일3부예배,김승욱 목사,사도행전 2:14-21,2020-05-10
25,앞서 행하시는 성령님 1 “혼란과 불안함 속에서”,주일2부예배,김승욱 목사,사도행전 1:3-9,2020-05-03
26,성령과 내면의 변화 9 : 절제 “많은 사람의 유익을 위한 절제”,주일3부예배,김승욱 목사,"갈라디아서 5:22-23, 사도행전 53:7, 고린도전서 10:23-24",2020-04-26
27,성령과 내면의 변화 8 : 온유,온라인 주일예배,김승욱 목사,"갈라디아서 5:22-23, 마태복음 11:29-30 디모데후서 2:23-25, 빌립보서 2:5-8",2020-04-19
28,결단코 흔들리지 않습니다,온라인 주일예배,김승욱 목사,욥기 19:25-26,2020-04-12
29,"성령과 내면의 변화 7 : 신실함 ""하나님의 신실하심을 주목하며 나타내며""",온라인 주일예배,김승욱 목사,"갈라디아서 5:22-23, 예레미야애가 3:22-23, 시편 15:1-5",2020-04-05
30,"성령과 내면의 변화 6 : 양선 ""하나님의 선하심을 닮아가게 하소서""",온라인 주일예배,김승욱 목사,"갈라디아서 5:22-23, 시편 136:1, 마태복음 7:12",2020-03-29
31,믿음 소망 사랑,온라인 주일예배,김승욱 목사,고린도전서 13:9-13,2020-03-22
32,예수님이 우리를 위해 기도하십니다,온라인 주일예배,김승욱 목사,로마서 8:34,2020-03-15
33,하나님의 선하심을 붙잡읍시다,온라인 주일예배,김승욱 목사,민수기 6:22-27,2020-03-08
34,"“오라 우리가 여호와께 예배하자” Come, Let Us Worship the Lord",온라인 주일예배,김승욱 목사,시편(Psalms) 95:1-11,2020-03-01
35,내가 주님만을 사모합니다,주일 4부 뉴웨이브예배 실황,안만기 목사,시편 42:1,2020-02-23
36,스스로 어리석은 하나님,주일2부예배,조병수 목사(합동신학대학원대학교 신약신학 교수),요한복음 3:16-17,2020-02-23
37,"성령과 내면의 변화 5 : 자비 ""주의 자비로 세상을 보게 하소서""",주일 4부 뉴웨이브예배 실황,김승욱 목사,"갈 5:22-23, 마 25:35-36, 요 9:5-7",2020-02-16
38,성령과 내면의 변화 5 : 자비 “주의 자비로 세상을 보게 하소서”,주일2부예배,김승욱 목사,"갈 5:22-23, 마 25:35-36, 요 9:5-7",2020-02-16
39,"성령과 내면의 변화 4 : 인내 ""그리스도의 인내에 이르게 하소서""",주일 4부 뉴웨이브예배 실황,김승욱 목사,"갈 5:22-23, 살후 3:5, 히 12:2",2020-02-09
40,성령과 내면의 변화 4 : 인내 “그리스도의 인내에 이르게 하소서”,주일3부예배,김승욱 목사,"갈 5:22-23, 살후 3:5, 히 12:2",2020-02-09
41,팍스 데오 - 화평하게 하는 자,주일 4부 뉴웨이브예배 실황,마승국 목사,역대하 14:1-6,2020-02-02
42,성령과 내면의 변화 3 : 평안 “세상을 이기는 평안”,주일2부예배,김승욱 목사,"갈 5:22-23, 요 16:33, 빌 4:6-7",2020-02-02
43,"성령과 내면의 변화 2 : 기쁨 ""기쁨의 영성""",주일3부예배,김승욱 목사,"갈 5:22-23, 요 17:13, 히 12:2",2020-01-26
44,성령과 내면의 변화 1 : 사랑 “사랑이 없으면 아무 것도 아닙니다”,주일 4부 뉴웨이브예배 실황,김승욱 목사,"갈 5:22-23, 요 13:34-35, 고전 13:1-3",2020-01-19
45,성령과 내면의 변화 1 : 사랑 “사랑이 없으면 아무 것도 아닙니다”,주일2부예배,김승욱 목사,"갈 5:22-23, 요 13:34-35, 고전 13:1-3",2020-01-19
46,우리 안에 변화를 이루소서,주일 4부 뉴웨이브예배 실황,김승욱 목사,"베드로전서 1:1-2, 고린도후서 3:18",2020-01-12
47,우리 안에 변화를 이루소서,주일2부예배,김승욱 목사,"베드로전서 1:1-2, 고린도후서 3:18",2020-01-12
48,우리에게 오신 성령님,주일2부예배,김승욱 목사,"요한복음 14:16-17, 스가랴 4:6(하반절)",2020-01-05
49,우리에게 오신 성령님,주일 4부 뉴웨이브예배 실황,김승욱 목사,"요한복음 14:16-17, 스가랴 4:6(하반절)",2020-01-05
50,하나님의 어린 양이 이겼습니다(The Lamb of God has Overcome),주일 4부 뉴웨이브예배 실황,김승욱 목사,요한계시록(Revelation) 17:14,2019-12-29
51,하나님의 어린 양이 이겼습니다(The Lamb of God has Overcome),주일3부예배,김승욱 목사,요한계시록(Revelation) 17:14,2019-12-29
52,진리와 사랑으로 굳게 서십시오,주일 4부 뉴웨이브예배 실황,김승욱 목사,"요일 5:13, 요이 1:3, 요삼 1:8, 유 1:3-4",2019-12-22
53,진리와 사랑으로 굳게 서십시오,주일3부예배,김승욱 목사,"요일 5:13, 요이 1:3, 요삼 1:8, 유 1:3-4",2019-12-22
54,산을 향하여 눈을 들리라 / 우리 앞에 놓인 경주,주일 4부 뉴웨이브예배 실황,김상복 원로목사 / 김승욱 담임목사,시편 121:1-8 / 히브리서 12:1-2,2019-12-15
55,시험과 환난 중에도,주일3부예배,김승욱 목사,"야고보서 1:2-5, 베드로전서 5:10, 베드로후서 3:17-18",2019-12-15
56,"복음의 능력, 변화된 삶",주일 4부 뉴웨이브예배 실황,김승욱 목사,"디도서 2:11-14, 빌레몬서 1:11",2019-12-08
57,"복음의 능력, 변화된 삶",주일3부예배,김승욱 목사,"디도서 2:11-14, 빌레몬서 1:11",2019-12-08
58,"성육신, 그 낮아짐의 영광",주일 4부 뉴웨이브예배 실황,안만기 목사,빌립보서 2:5-11,2019-12-01
59,"다시 오실 주님을 주목하며, 복음의 계승을 이뤄가며",주일2부예배,김승욱 목사,"데살로니가전서 5:23, 디모데후서 1:11-14",2019-12-01
